index,text,url,type
236,Hudson & Thames - https://www.youtube.com/channel/UC8hI87gt0dmTAIEupEcsckA/videos ,https://www.youtube.com/channel/UC8hI87gt0dmTAIEupEcsckA/videos,channel
237,Quant Inst - https://www.youtube.com/user/quantinsti/videos ,https://www.youtube.com/user/quantinsti/videos,user
238,Hong Kong ML - https://youtube.com/channel/UCywHr2wSEj3Fl0u81OIzEoQ,https://youtube.com/channel/UCywHr2wSEj3Fl0u81OIzEoQ,channel
239,Paris ML - https://youtube.com/user/IgorCarron,https://youtube.com/user/IgorCarron,user
241,Better Data Science - https://youtube.com/channel/UCzwWYDA9IuJ7iFrvbZsvRwQ,https://youtube.com/channel/UCzwWYDA9IuJ7iFrvbZsvRwQ,channel
242,Graph Neural Networks - https://youtube.com/channel/UCnmuSDY1pTlaFH1WRQElfTg,https://youtube.com/channel/UCnmuSDY1pTlaFH1WRQElfTg,channel
243,AI3SD - https://www.youtube.com/channel/UCXOkV943dmo6rSiVlo7lsBw ,https://www.youtube.com/channel/UCXOkV943dmo6rSiVlo7lsBw,channel
244,The data incubator - https://youtube.com/c/TheDataIncubatorVideos,https://youtube.com/c/TheDataIncubatorVideos,custom
245,Faculty - https://www.youtube.com/channel/UCaiUkj_9GAncPqJxvbBUkWA/videos ,https://www.youtube.com/channel/UCaiUkj_9GAncPqJxvbBUkWA/videos,channel
246,Jina AI - https://www.youtube.com/c/JinaAI/videos ,https://www.youtube.com/c/JinaAI/videos,custom
247,Data Umbrella - https://youtube.com/c/DataUmbrella,https://youtube.com/c/DataUmbrella,custom
248,DVC Org - https://youtube.com/channel/UC37rp97Go-xIX3aNFVHhXfQ,https://youtube.com/channel/UC37rp97Go-xIX3aNFVHhXfQ,channel
249,Zed statistics - https://youtube.com/c/zedstatistics,https://youtube.com/c/zedstatistics,custom
250,UK Data Service - https://www.youtube.com/user/UKDATASERVICE/videos ,https://www.youtube.com/user/UKDATASERVICE/videos,user
251,AI 4 Good - https://youtube.com/c/AIforGood,https://youtube.com/c/AIforGood,custom
252,Mrs Taylors Math - https://youtube.com/channel/UCvsgQp-CBn7qzjk6c4Pwoig,https://youtube.com/channel/UCvsgQp-CBn7qzjk6c4Pwoig,channel
253,Data Works MD - https://youtube.com/c/DataWorksMD,https://youtube.com/c/DataWorksMD,custom
254,Expert AI - https://youtube.com/c/expertai,https://youtube.com/c/expertai,custom
255,Story By Data - https://youtube.com/channel/UCU9GTVEPqlSNRDHypVf3BRw,https://youtube.com/channel/UCU9GTVEPqlSNRDHypVf3BRw,channel
